id;name;energy,calculated (kJ);fat, total (g);carbohydrate, available (g);protein, total (g);alcohol (g);organic acids, total (g);sugar alcohols (g);sugars, total (g);fructose (g);galactose (g);glucose (g);lactose (g);maltose (g);sucrose (g);starch, total (g);fibre, total (g);fibre, water-insoluble (g);polysaccharides, non-cellulosic, water-soluble (g);fatty acids, total (g);fatty acids, total polyunsaturated (g);fatty acids, total monounsaturated cis (g);fatty acids, total saturated (g);fatty acids, total trans (g);fatty acids, total n-3 polyunsaturated (g);fatty acids, total n-6 polyunsaturated (g);fatty acid 18:2 cis,cis n-6 (linoleic acid) (mg);fatty acid 18:3 n-3 (alpha-linolenic acid) (mg);fatty acid 20:5 n-3 (EPA) (mg);fatty acid 22:6 n-3 (DHA) (mg);cholesterol (GC) (mg);sterols, total (mg);calcium (mg);iron, total (mg);iodide (iodine) (µg);potassium (mg);magnesium (mg);sodium (mg);salt (mg);phosphorus (mg);selenium, total (µg);zinc (mg);tryptophan (mg);folate, total (µg);niacin equivalents, total (mg);niacin, preformed (nicotinic acid + nicotinamide) (mg);vitamers pyridoxine (hydrochloride) (mg);riboflavine (mg);thiamin (vitamin B1) (mg);vitamin A  retinol activity equivalents (µg);carotenoids, total (µg);vitamin B-12 (cobalamin) (µg);vitamin C (ascorbic acid) (mg);vitamin D (µg);vitamin E  alphatocopherol (mg);vitamin K, total (µg)
31970;Ice Cream With Biscuit, Cream Based, Puffet;1132;10.5;38.5;4.7;0;0;0;26.1;<0.1;0;<0.1;3.4;0.1;22.5;12.4;0.9;0.7;0.2;10.2;1.1;3.4;5.4;0.3;0.3;0.8;757;270;0;0;19.3;23.2;98.3;0.3;13.3;187.2;20.0;106.4;271.1;103.9;4.0;0.6;57.0;4.7;1.2;0.2;0.03;0.16;0.04;72.0;35.1;0.3;0.8;<0.1;0.8;5.17
35142;Ice Cream With Biscuit, Elovena Ice Cream Snack;1214;10.4;39.9;6.2;0;0.2;0;18.5;0.4;0.6;1.1;0.2;0.2;15.9;20.4;5.5;4.5;0.7;10.0;1.9;4.0;3.9;0.1;0.4;1.5;1539;383;0;0;4.2;47.1;60.7;1.3;10.0;181.2;38.4;257.5;656.2;139.7;4.1;0.9;92.9;11.1;1.6;0.3;0.06;0.09;0.14;15.8;69.7;0.1;0.7;<0.1;1.1;7.07
32010;Ice Cream With Biscuit And Chocolate, Cream Based;1053;14.6;27.8;2.2;0;<0.1;0;24.3;0.1;0;0.3;2.4;0.1;21.3;3.0;0.5;0.4;0.2;13.4;0.6;3.7;8.8;0.3;<0.1;0.4;398;89;0;0;19.9;17.3;65.1;0.4;7.9;109.1;13.0;62.8;160.0;59.1;1.4;0.3;26.1;3.7;0.6;0.1;0.02;0.10;0.02;93.6;42.9;<0.1;1.3;<0.1;0.4;4.15
11149;Ice Cream With Sorbet Coating, Average;466;3.2;19.3;1.1;0;<0.1;0;19.3;0.1;0;0.1;1.4;<0.1;17.7;0;0;0;0;2.7;<0.1;0.7;1.8;0.1;<0.1;<0.1;38;13;0;0;7.5;0;38.5;<0.1;5.2;53.7;4.0;12.7;32.4;31.3;1.0;0.1;13.1;1.1;0.3;<0.1;<0.01;0.06;0.01;27.5;14.9;0.1;1.3;<0.1;0.1;0.82
11142;Ice Lolly, Average;343;0;20.0;0.1;0;<0.1;0;19.9;0.2;0;0.1;0;<0.1;19.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6;<0.1;1.3;8.3;0.7;2.3;5.8;1.7;0.1;<0.1;0.5;0.8;<0.1;<0.1;<0.01;<0.01;<0.01;<0.1;2.2;0;1.3;0;<0.1;0.19
30172;Icing;1430;0;84.1;0;0;0;0;84.1;0;0;0;0;0;84.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;<0.1;4.2;1.7;<0.1;0.2;0.6;<0.1;0.4;<0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33109;Indian Potato Stew, Bombay Potatoes;330;4.0;8.5;1.3;0;0.3;0;1.2;0.5;<0.1;0.4;0;0;0.3;7.1;1.4;0.6;0.3;3.7;1.3;2.1;0.3;0;0.4;0.9;945;369;0;0;0.6;26.7;13.5;0.7;12.2;206.5;14.7;186.4;475.0;30.7;0.5;0.2;12.1;9.6;0.4;0.3;0.08;0.01;0.08;22.6;496.6;0;5.2;0;1.1;6.36
31469;Indian Yoghurt Sauce, Cucumber Raita;201;3.3;2.6;1.6;0;0.3;0;2.6;0.3;0.4;0.7;1.0;0;0.1;0;0.3;0.3;0.2;3.3;<0.1;0.8;2.3;<0.1;<0.1;<0.1;42;20;0;0;8.5;3.1;55.2;0.1;13.5;142.1;8.1;147.2;375.1;55.2;1.3;0.2;23.8;6.7;0.5;0.1;0.04;0.10;0.03;37.0;208.0;<0.1;3.6;<0.1;<0.1;5.00
29412;Infant Formula, Powder, Average;2076;25.1;56.4;9.5;0;0;0;51.9;0;0;1.2;50.3;0.4;0;4.5;3.6;0;0;24.6;4.4;9.5;10.6;<0.1;0.9;3.9;3859;827;44;36;8.8;76.7;369.5;4.6;88.5;470.3;38.2;135.2;344.4;204.7;11.0;3.7;165.7;81.0;4.4;4.4;0.36;0.76;0.44;460.2;3.2;1.5;70.7;8.5;8.1;37.10
29413;Infant Formula, Ready-To-Feed, Average;284;3.5;7.7;1.3;0;<0.1;0;6.9;0;0;0.1;6.7;<0.1;0;0.7;0.3;0;0;3.3;0.6;1.4;1.3;<0.1;<0.1;0.5;519;77;4;7;1.8;6.8;47.1;0.6;11.2;65.8;6.1;21.2;54.0;29.7;1.8;0.5;21.9;10.1;1.1;0.7;0.07;0.16;0.06;63.9;1.9;0.2;8.6;1.3;0.8;5.03
33357;Instant Coffee, Powder;302;0.5;4.5;12.2;0;N/A;0;0;0;0;0;0;0;0;4.5;0;0;0;0.4;0.2;<0.1;0.2;0;<0.1;0.2;180;15;0;0;0;N/A;141.0;4.4;N/A;3535.0;327.0;37.0;94.3;303.0;12.6;0.3;30.0;0;28.7;28.2;0.04;0.07;<0.01;0;0;0;0;0;0;1.90
3321;Instant Soup, Average Of Dry Soup Mixes;196;1.9;5.2;1.5;0;0.3;0;2.8;0.2;<0.1;0.1;0.2;<0.1;2.2;2.4;0.7;0.6;0.1;1.8;0.2;0.5;1.1;<0.1;<0.1;0.1;140;22;<1;<1;3.8;12.4;12.0;0.3;4.7;136.4;7.1;356.5;908.3;39.5;2.9;0.2;20.1;12.2;1.4;1.4;0.04;0.08;0.04;45.6;879.3;<0.1;3.7;<0.1;0.1;4.23
944;Irish Coffee, 8% Volume;457;3.2;5.4;0.4;8.2;<0.1;0;5.4;0;0;0;0.3;0;5.0;0;0;0;0;3.0;<0.1;0.7;2.1;<0.1;<0.1;<0.1;40;12;0;0;6.4;0.1;8.5;<0.1;1.8;69.9;7.4;2.6;6.7;10.9;0.2;<0.1;2.2;0.6;0.5;0.4;<0.01;0.02;<0.01;27.4;11.8;<0.1;<0.1;<0.1;<0.1;0.96
29149;Italian Stew;421;3.3;9.7;7.7;0;<0.1;0;0.3;0.1;<0.1;<0.1;<0.1;0;0.2;9.3;0.7;0.4;0.2;3.1;0.5;1.3;1.2;<0.1;0.1;0.4;338;91;3;0;16.2;13.1;7.6;1.4;13.6;129.3;10.9;204.5;521.2;68.6;6.0;1.5;117.1;7.2;3.2;2.0;0.13;0.06;0.03;32.1;867.6;0.3;2.5;0.1;0.4;3.72
32049;Italian Stew With Beef Mince;616;7.8;9.7;9.4;0;<0.1;0;0.3;0.1;<0.1;<0.1;<0.1;0;0.2;9.3;0.7;0.4;0.2;7.3;0.5;3.5;3.1;0.1;0.1;0.4;387;111;0;0;20.6;13.1;9.5;1.4;17.9;138.4;11.8;272.5;694.3;74.4;7.9;2.3;114.4;7.5;3.3;2.2;0.19;0.05;0.03;37.2;867.2;0.4;2.5;0.1;0.4;3.87
32047;Italian Stew With Pork Beef Mince;584;7.8;9.7;7.3;0;<0.1;0;0.3;0.1;<0.1;<0.1;<0.1;0;0.2;9.3;0.7;0.4;0.2;7.4;0.8;3.5;3.0;<0.1;0.1;0.7;640;122;0;0;18.1;13.1;8.8;1.0;13.6;111.0;9.7;202.7;516.5;59.4;7.4;1.3;98.2;6.4;3.3;1.8;0.14;0.06;0.06;33.7;861.9;0.3;2.5;0.1;0.4;3.93
29749;Jaffa Cake, Average;1588;12.4;62.0;3.8;0;0.1;0;48.8;2.6;0;3.5;2.6;1.0;39.1;9.1;1.1;0.8;0.3;11.1;2.1;4.9;4.0;<0.1;0.5;1.5;1535;517;0;4;13.4;55.6;65.6;0.5;11.3;198.8;19.9;337.3;859.5;79.3;3.0;0.5;46.3;6.2;0.9;0.2;0.04;0.04;0.03;24.4;47.7;<0.1;0.8;<0.1;1.4;7.97
31637;Jaffa Cake, Naturally Gluten-Free;1552;7.8;66.4;6.7;0;<0.1;0;45.6;0.7;0;2.2;<0.1;1.2;41.5;15.0;2.5;1.8;1.0;6.7;1.0;2.4;3.2;<0.1;0.2;0.8;827;147;0;9;28.9;37.5;40.3;1.8;8.5;296.8;54.6;206.7;526.7;125.6;4.8;0.8;96.0;39.1;2.1;0.7;0.11;0.07;0.09;22.6;189.8;0.2;4.2;0.2;0.4;1.97
31646;Jaffa Cake, Orange, Lu;1688;10.2;71.0;5.0;0;<0.1;0;50.3;0.2;0;0.6;<0.1;0.3;49.1;19.4;2.1;1.9;0.6;8.8;1.2;3.5;4.0;<0.1;0.3;1.0;962;259;0;7;25.3;51.1;18.8;1.2;8.3;128.2;33.4;126.4;322.0;81.4;4.7;0.7;61.6;9.6;1.3;0.4;0.06;0.05;0.03;19.6;109.1;0.1;1.4;0.2;0.7;4.02
476;Jam, Sweetened With Fructose;605;0.3;33.5;0.1;0;1.0;0;33.5;31.5;0;1.6;0;0;0.5;0;1.8;1.2;0.6;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;37;36;0;0;0;9.1;11.0;0.2;7.0;55.0;4.0;38.0;96.8;8.0;0;0;0;0;0;0;0;0.03;0.02;1.3;79.3;0;2.0;0;0.6;5.89
1165;Jam Pie, Basic Sweet Dough, Fat-Free Milk;1249;5.5;52.5;7.8;0;0.1;0;11.9;0.9;0;0.8;0.9;0.5;8.8;40.6;2.2;1.6;0.6;4.9;0.8;1.5;2.4;<0.1;0.1;0.7;691;99;0;4;20.3;34.4;36.1;0.7;14.6;211.2;20.9;112.8;287.4;97.3;7.5;0.7;92.8;27.6;2.1;0.8;0.08;0.11;0.06;52.3;52.0;0.2;0.5;0.5;0.6;3.25
32282;Jam Pie, Basic Sweet Dough, Fat-Free Milk, Sweetened With Fructose;1018;5.2;42.1;5.2;0;0.4;0;16.9;14.8;<0.1;0.6;0.9;0.3;0.3;24.9;2.2;1.4;0.5;4.7;1.0;1.8;1.9;<0.1;0.2;0.7;710;213;0;2;10.7;34.9;35.1;0.5;16.2;117.7;14.6;145.6;370.9;70.1;4.6;0.5;59.8;23.1;1.4;0.5;0.05;0.10;0.04;19.9;54.8;0.1;1.0;0.6;0.8;5.80
31974;Jam Pie, Basic Sweet Dough, Gluten-Free, Contains Wheat Starch And Milk;1076;4.7;49.5;2.9;0;0.3;0;24.0;2.7;<0.1;2.5;3.5;0;15.4;25.8;0.8;0.4;0.2;4.4;0.7;1.7;1.9;<0.1;0.2;0.5;465;185;0;2;13.7;16.2;93.3;0.2;18.3;374.8;13.7;171.3;436.6;79.9;2.4;0.5;43.5;23.7;1.1;0.4;0.04;0.19;0.04;22.3;51.6;0.2;1.2;0.6;0.6;4.77
1164;Jam Pie, Basic Sweet Dough, Low-Fat Milk;1273;5.8;53.1;7.9;0;0.1;0;12.0;0.9;0;0.8;0.9;0.5;8.9;41.1;2.2;1.6;0.6;5.2;0.8;1.6;2.6;<0.1;0.1;0.7;702;101;0;5;21.5;34.8;36.4;0.7;14.8;212.0;21.0;113.6;289.5;98.5;7.6;0.7;93.6;27.9;2.1;0.8;0.08;0.11;0.06;55.0;53.6;0.2;0.4;0.5;0.6;3.32
32284;Jam Pie, Basic Sweet Dough, Low-Fat Milk, Sweetened With Fructose;1027;5.5;42.1;5.2;0;0.4;0;16.9;14.8;<0.1;0.6;0.9;0.3;0.3;24.9;2.2;1.4;0.5;5.0;1.0;1.9;2.1;<0.1;0.2;0.7;713;214;0;2;11.7;34.9;35.0;0.5;16.2;115.9;14.4;145.0;369.6;70.1;4.6;0.5;59.5;23.1;1.4;0.5;0.05;0.10;0.05;22.1;55.7;0.1;1.0;0.6;0.8;5.83
32278;Jam Pie, Basic Sweet Dough, Whole Milk;1295;6.2;53.5;8.0;0;0.1;0;12.1;0.9;0;0.8;0.9;0.5;9.0;41.4;2.3;1.7;0.6;5.5;0.9;1.6;2.8;<0.1;0.1;0.7;712;103;0;5;22.5;35.0;37.4;0.7;14.9;215.3;21.1;115.0;292.9;99.2;7.7;0.7;94.3;28.4;2.1;0.8;0.08;0.11;0.06;58.2;55.2;0.2;0.4;0.5;0.6;3.43
32283;Jam Pie, Basic Sweet Dough, Whole Milk, Sweetened With Fructose;1040;5.8;42.1;5.2;0;0.4;0;16.9;14.8;<0.1;0.6;0.9;0.3;0.3;24.9;2.2;1.4;0.5;5.3;1.0;1.9;2.3;<0.1;0.2;0.7;718;215;0;2;12.5;34.9;35.7;0.5;16.2;117.7;14.4;145.6;370.9;70.1;4.6;0.5;59.5;23.5;1.4;0.5;0.05;0.10;0.04;25.0;56.9;0.1;0.9;0.6;0.8;5.92
1181;Jam Pie, Shortbread Crust;1541;17.8;45.8;5.3;0;0.2;0;23.8;2.2;0;2.0;0.1;0.3;19.2;22.0;1.4;1.0;0.5;16.6;1.9;5.2;8.8;0.2;0.3;1.5;1434;302;0;13;62.8;40.2;17.9;0.6;9.3;267.8;14.4;133.2;339.5;67.2;7.2;0.5;66.5;12.8;1.3;0.3;0.05;0.07;0.04;189.9;151.4;0.3;0.6;1.0;1.5;9.77
31973;Jam Pie, Short Bread Crust, Gluten-Free, Contains Wheat Starch;1101;5.0;50.2;3.1;0;0.3;0;23.2;2.4;<0.1;2.2;3.7;0;14.9;27.4;0.8;0.3;0.2;4.7;0.7;1.8;2.1;<0.1;0.2;0.5;493;195;0;3;14.6;16.8;98.8;0.2;19.4;356.1;13.8;180.1;458.8;84.5;2.6;0.5;46.0;24.9;1.1;0.4;0.05;0.20;0.04;23.6;50.7;0.3;1.2;0.6;0.6;4.78
31975;Jam Pie, Shortbread Crust, Naturally Gluten-Free;1441;15.4;46.7;3.0;0;0.3;0;24.8;2.4;<0.1;2.3;<0.1;<0.1;19.9;21.9;2.8;1.7;1.5;14.7;2.5;5.9;6.1;0.2;0.6;1.8;1758;629;0;11;48.5;53.5;116.6;0.7;8.3;278.8;20.5;195.2;497.3;138.6;5.8;0.4;37.8;13.3;1.1;0.7;0.10;0.06;0.05;73.7;301.4;0.2;0.7;1.4;1.8;12.27
32279;Jam Pie, Shortbread Crust With Sour Milk;1457;12.4;53.6;4.4;0;0.3;0;29.5;1.7;<0.1;1.5;0.5;0.3;25.5;24.0;1.4;1.0;0.4;11.7;2.1;4.6;4.9;0.2;0.5;1.5;1471;524;0;0;10.3;57.8;24.0;0.4;6.7;228.5;14.0;227.4;579.3;54.5;3.8;0.3;50.3;7.3;1.1;0.3;0.04;0.05;0.03;40.6;41.0;<0.1;0.6;1.0;1.4;10.06
8033;Jansson'S Casserole, Jansson'S Temptation, Cooking Cream;616;8.1;11.7;5.3;0;1.6;0;3.3;0.4;<0.1;0.4;1.3;0;1.3;8.3;0.8;0.7;0.3;7.6;0.6;2.1;4.7;0.2;0.4;0.2;205;87;86;168;22.0;5.9;50.6;0.7;9.1;372.1;19.6;474.8;1209.8;75.0;8.8;0.5;60.7;14.1;1.5;0.6;0.12;0.09;0.11;55.1;71.6;1.1;5.0;0.7;0.4;2.69
9;Jelly Candy, Fruit Jelly;1295;0.1;75.0;0.1;0;0;0;60.0;0;0;9.3;0;6.8;43.9;15.0;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.7;9.0;0.3;4.0;20.0;2.0;72.0;183.5;7.0;0.5;0.1;0;0;0.2;<0.1;0;<0.01;0;0.8;14.5;0;1.0;0;0.3;0
310;Jerusalem Artichoke;218;0.1;2.9;1.8;0;0.3;0;2.8;1.4;<0.1;<0.1;0;<0.1;1.2;0.1;16.4;3.0;1.0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;13;42;0;0;0.3;5.2;23.0;0.2;0;630.0;13.0;4.9;12.5;60.0;10.0;0.2;14.0;13.0;1.5;1.3;0.11;0.05;0.20;0.7;8.0;0;4.7;0;0.3;0.10
30606;Juice, Unsweetened, Vitamin C, Vitamin D, Probiotics;208;0.2;10.9;0.5;0;0.5;0;10.9;6.0;0;4.1;0;0;0.8;0;0;0;0;0.2;0.1;<0.1;<0.1;0;<0.1;0.1;105;11;0;0;0;8.2;9.8;0.4;1.0;153.5;6.4;3.3;8.5;14.2;0.6;<0.1;9.0;2.7;1.4;1.2;0.04;0.03;0.03;1.4;83.6;0;40.0;1.0;0.2;0.76
34276;Juice Drink, 40% Less Sugar, Sweetened With Stevia, Valio Grandi;103;<0.1;5.9;<0.1;0;0.1;0;5.8;0.2;0;0.2;0;0;5.4;<0.1;0;0;0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;5;5;0;0;0;0.5;5.2;<0.1;0.3;16.0;1.2;0.9;2.4;2.7;<0.1;<0.1;0.7;1.4;<0.1;<0.1;<0.01;<0.01;<0.01;0.2;10.8;0;3.0;0;<0.1;0.80
458;Juice Drink, Blackcurrant-Lingonberry, Contains Sugar;307;0.3;17.3;<0.1;0;0.2;0;17.3;3.5;0;3.5;0;0;10.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.0;0.4;0;135.0;7.0;1.0;2.5;10.0;<0.1;<0.1;0.8;5.0;<0.1;<0.1;0.08;0.02;0.40;0.3;19.7;0;2.0;0;0.1;1.42
29215;Juice Drink, Fruit, Berry, Added Vitamin C, Contains Sugar;191;<0.1;11.0;<0.1;0;<0.1;0;11.0;0.4;0;0.3;0;<0.1;10.3;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;8;3;0;0;<0.1;1.1;3.9;<0.1;0.6;17.3;1.1;1.2;3.0;1.9;0.1;<0.1;1.1;1.9;0.1;<0.1;<0.01;<0.01;<0.01;0.1;5.1;0;30.0;0;<0.1;0.36
30392;Juice Drink, Fruit, Berry, Average, Contains Sugar;190;<0.1;11.0;<0.1;0;<0.1;0;11.0;0.4;0;0.3;0;<0.1;10.3;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;8;3;0;0;<0.1;1.1;3.9;<0.1;0.6;17.3;1.1;1.2;3.0;1.9;0.1;<0.1;1.1;1.9;0.1;<0.1;<0.01;<0.01;<0.01;0.1;5.1;0;3.0;0;<0.1;0.36
35196;Juice Drink, Fruit, Berry, Contains Sugar, Valio Hörppy;112;<0.1;6.5;<0.1;0;<0.1;0;6.5;0.2;0;0.2;0;0;6.1;0;0;0;0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;<1;<1;0;0;0;0.2;3.2;<0.1;0.3;7.2;0.3;1.1;2.7;0.9;<0.1;<0.1;0.1;0.1;<0.1;<0.1;<0.01;<0.01;<0.01;<0.1;3.8;0;1.1;0;<0.1;0.06
30607;Juice Drink, Fruit, Berry, Fibre, Contains Sugar;201;0.1;10.8;0.3;0;0.4;0;10.8;2.5;0;2.0;0;0;6.2;0;1.0;0;0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;50;12;0;0;<0.1;4.5;9.0;0.1;0.8;97.7;5.3;3.2;8.1;9.0;0.2;<0.1;6.2;8.8;0.8;0.7;0.04;0.01;0.03;0.8;27.4;0;19.8;0;<0.1;0.10
30390;Juice Drink, Fruit, Berry, Light, Partially Artificially Sweetened;65;0.1;3.4;0.2;0;0.3;0;3.4;1.5;0;1.0;0;<0.1;0.9;<0.1;0.2;0.2;<0.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;48;10;0;0;<0.1;3.6;6.5;<0.1;0.3;56.0;3.4;1.9;4.7;5.2;<0.1;<0.1;4.9;6.2;0.6;0.6;0.03;<0.01;0.02;0.2;13.5;0;10.9;0;<0.1;0.56
33113;Juice Drink, Fruit, Berry, Mehukatti, Vitamin C And D, Calcium, Contains Sugar;174;<0.1;10.0;<0.1;0;<0.1;0;10.0;0.4;0;0.3;0;<0.1;9.3;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;8;3;0;0;<0.1;1.1;72.0;<0.1;0.6;17.3;1.1;1.2;3.0;1.9;0.1;<0.1;1.1;1.9;0.1;<0.1;<0.01;<0.01;<0.01;0.1;5.1;0;9.0;0.5;<0.1;0.36
30388;Juice Drink, Fruit, Berry, Partially Artificially Sweetened;124;<0.1;6.8;0.3;0;0.3;0;6.8;2.0;0;2.0;0;<0.1;2.8;0;0;0;0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;11;9;0;0;<0.1;3.9;7.4;<0.1;0.5;88.0;5.4;3.5;8.8;8.4;0.1;<0.1;3.7;8.9;0.3;0.2;0.03;0.01;0.03;0.8;20.9;0;17.2;0;<0.1;0.10
30576;Juice Drink, Gefilus, Probiotics, Average Of Industrial Products;212;0.3;11.6;0.5;0;0.6;0;11.6;5.8;0;4.2;0;0;1.6;0;0;0;0;0.2;0.2;<0.1;<0.1;0;<0.1;0.1;143;18;0;0;<0.1;6.8;9.4;0.4;1.0;153.6;6.5;4.1;10.3;13.4;0.3;<0.1;12.8;7.6;1.9;1.7;0.06;0.03;0.05;1.0;47.9;0;31.2;0;0.2;0.15
33909;Juice Drink, Gefilus, Vitamin C And D, Probiotics;189;0.2;9.8;0.5;0;0.5;0;9.8;4.6;0;3.7;0;0;1.6;0;0;0;0;0.1;0.1;<0.1;<0.1;0;<0.1;<0.1;88;15;0;0;<0.1;6.1;8.5;0.3;0.8;141.6;6.0;3.7;9.3;12.9;0.2;<0.1;9.1;8.7;1.2;1.1;0.05;0.03;0.05;1.0;45.8;0;40.0;1.0;0.2;0.14
29150;Juice Drink, Lingonberry, Diluted, Contains Sugar;60;<0.1;3.4;<0.1;0;0.1;0;3.3;0.6;0;0.7;0;0;2.0;<0.1;0;0;0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;8;9;0;0;0;1.8;4.2;<0.1;0;27.0;1.4;1.0;2.7;2.0;<0.1;<0.1;0.5;0;<0.1;<0.1;0.02;<0.01;0.08;<0.1;1.9;0;0.4;0;<0.1;0.54
459;Juice Drink, Lingonberry, Undiluted, Contains Sugar;297;0.3;16.8;<0.1;0;0.7;0;16.7;2.9;0;3.6;0;0;10.2;0.1;0;0;0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;38;43;0;0;0;9.2;9.0;0.4;0;135.0;7.0;1.2;3.1;10.0;0.1;<0.1;2.4;0;0.2;0.1;0.08;0.02;0.40;0.2;9.4;0;2.0;0;0.5;2.70
33908;Juice Drink, Orange-Peach, Gefilus, Fibre, Vitamin C And D, Probiotics;174;<0.1;8.8;0.4;0;0.4;0;8.8;1.7;0;1.7;0;0;5.5;0;1.5;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;23;15;0;0;0.1;5.8;7.0;<0.1;0.8;114.8;5.5;2.5;6.3;9.9;<0.1;<0.1;4.6;13.5;0.3;0.3;0.04;0.01;0.04;1.0;32.9;0;40.0;1.0;0.2;0.21
33884;Juice Drink, Pineapple-Carrot, Gefilus, Calcium, Vitamin C And D, Probiotics;222;<0.1;12.3;0.3;0;0.3;0;12.2;1.4;0;1.2;0;0;9.7;<0.1;0.3;0.2;<0.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;11;<1;0;0;0;3.3;120.0;0.2;0.8;99.1;9.9;4.9;12.5;14.0;0.4;<0.1;3.7;5.6;0.4;0.3;0.04;0.02;0.03;79.9;1162.6;0;40.0;1.0;<0.1;2.00
30396;Juice Drink, Sugar-Free, Artificially Sweetened;0;0;0;0;0;0;0;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;<0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33907;Juice Drink, Whey Drink, Gefilus, Vitamins, Probiotics, Low-Lactose;200;0.3;10.5;0.4;0;0.4;0;10.5;3.6;0;2.3;0.7;0;3.9;0;0;0;0;0.2;0.1;<0.1;<0.1;0;<0.1;0.1;112;14;0;0;0.2;5.7;85.0;0.2;0.8;135.0;10.3;10.4;26.6;37.9;0.4;0.1;13.0;8.3;1.7;1.5;0.06;0.04;0.05;1.8;31.0;0.4;40.0;1.0;<0.1;0.13
34929;Juice Drink With Milk, Fat-Free, Gefilus, Vitamins, Probiotics, Lactose-Free;181;<0.1;9.6;0.8;0;0.2;0;9.2;0.9;0.3;1.1;0;0;6.8;0;<0.1;0;0;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;8;5;0;0;0.2;2.3;29.6;0.1;3.6;76.6;5.9;11.2;28.6;22.8;0.7;0.1;11.5;6.2;0.4;0.2;0.03;0.04;0.03;0.9;16.0;<0.1;40.0;1.0;<0.1;0.09
4409;Juice Jelly;362;0.2;17.6;3.2;0;0.3;0;17.6;1.0;0;0.9;0;0;15.7;0;0;0;0;0.1;<0.1;0;<0.1;0;0;0;0;0;0;0;0;1.5;9.2;0.1;0.3;40.6;2.4;0.9;2.3;6.5;0.2;<0.1;1.7;1.2;<0.1;<0.1;0.30;<0.01;<0.01;0.6;36.1;0;0.5;0;0;2.54
35615;Juniper Berry;1038;4.9;25.0;4.2;0;N/A;N/A;25.0;N/A;N/A;N/A;0;N/A;N/A;0;45.0;N/A;N/A;N/A;N/A;N/A;0.7;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;165.0;1.7;N/A;816.0;46.9;0.9;2.2;76.4;5.0;0.5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;0;N/A;N/A
326;Kale;160;0.8;1.8;2.7;0;<0.1;0;1.6;0.9;<0.1;0.6;0;<0.1;<0.1;0.1;6.7;1.1;0.9;0.6;0.5;<0.1;<0.1;0;0.4;0.1;132;364;0;0;0;8.8;240.0;0.7;1.0;470.0;30.0;4.1;10.4;52.0;10.0;0.3;N/A;120.0;1.0;1.0;0.35;0.35;0.12;765.8;41700.0;0;65.8;0;5.4;618.00
34514;Kale, Fried;656;13.9;2.7;2.3;0;1.5;0;1.7;0.9;<0.1;0.6;0;<0.1;0.1;1.0;4.8;0.8;0.6;13.3;4.9;7.4;0.9;0;1.5;3.4;3385;1508;0;0;0.7;93.7;168.5;0.8;17.7;386.7;23.1;260.2;663.0;47.7;7.1;0.2;5.3;59.0;0.7;0.7;0.31;0.20;0.07;457.8;27685.5;0;33.9;0;6.6;427.94
34515;Kale And Feta Cheese Salad;509;9.7;2.6;4.3;0;1.2;0;2.2;0.8;<0.1;0.7;0.4;<0.1;0.2;0.4;2.3;0.5;0.3;9.2;1.9;4.0;3.0;0.2;0.6;1.3;1302;569;0;0;12.1;37.1;146.8;0.4;3.5;213.0;12.0;332.1;846.2;91.2;7.9;1.1;152.6;49.2;3.0;0.4;0.16;0.15;0.06;231.0;10542.9;0.2;22.8;<0.1;2.6;151.23
