id;name;energy,calculated (kJ);fat, total (g);carbohydrate, available (g);protein, total (g);alcohol (g);organic acids, total (g);sugar alcohols (g);sugars, total (g);fructose (g);galactose (g);glucose (g);lactose (g);maltose (g);sucrose (g);starch, total (g);fibre, total (g);fibre, water-insoluble (g);polysaccharides, non-cellulosic, water-soluble (g);fatty acids, total (g);fatty acids, total polyunsaturated (g);fatty acids, total monounsaturated cis (g);fatty acids, total saturated (g);fatty acids, total trans (g);fatty acids, total n-3 polyunsaturated (g);fatty acids, total n-6 polyunsaturated (g);fatty acid 18:2 cis,cis n-6 (linoleic acid) (mg);fatty acid 18:3 n-3 (alpha-linolenic acid) (mg);fatty acid 20:5 n-3 (EPA) (mg);fatty acid 22:6 n-3 (DHA) (mg);cholesterol (GC) (mg);sterols, total (mg);calcium (mg);iron, total (mg);iodide (iodine) (µg);potassium (mg);magnesium (mg);sodium (mg);salt (mg);phosphorus (mg);selenium, total (µg);zinc (mg);tryptophan (mg);folate, total (µg);niacin equivalents, total (mg);niacin, preformed (nicotinic acid + nicotinamide) (mg);vitamers pyridoxine (hydrochloride) (mg);riboflavine (mg);thiamin (vitamin B1) (mg);vitamin A  retinol activity equivalents (µg);carotenoids, total (µg);vitamin B-12 (cobalamin) (µg);vitamin C (ascorbic acid) (mg);vitamin D (µg);vitamin E  alphatocopherol (mg);vitamin K, total (µg)
32513;Chicken Nuggets, Breaded, Cheese Filling, Hk/Kariniemi;1202;19.8;16.8;10.3;0;<0.1;0;0.3;<0.1;<0.1;<0.1;<0.1;0.2;<0.1;16.4;0.9;0.5;0.2;19.0;6.0;10.8;2.1;<0.1;1.9;4.1;4076;1867;12;10;27.1;128.2;60.0;0.7;5.6;184.1;24.1;476.2;1213.5;120.9;5.7;0.6;120.8;10.3;3.4;2.0;0.16;0.06;0.03;21.6;53.2;0.3;<0.1;0.1;3.5;41.09
33540;Chicken Nuggets, Breaded, Hk/Kariniemi;1139;17.0;14.0;15.7;0;0;0;0.2;<0.1;0;<0.1;0;0.2;<0.1;13.8;0.7;0.5;0.2;16.1;4.5;8.2;3.2;<0.1;0.9;3.5;3389;876;28;26;68.0;58.9;12.8;0.7;4.2;180.3;20.3;514.9;1311.8;133.8;11.2;1.0;172.8;9.3;6.2;4.7;0.30;0.09;0.04;32.9;2.1;0.4;0;0.4;1.7;41.27
32108;Chicken Nuggets, Deep Fried, Chicken Mcnuggets;1017;12.3;19.6;13.2;0;0;0;0.6;<0.1;0;<0.1;0;<0.1;0.4;19.0;0.5;0.3;0.1;11.8;3.2;6.2;2.4;<0.1;0.9;2.3;2258;867;8;6;29.6;55.7;9.4;0.4;5.6;222.9;19.6;484.0;1233.1;103.1;14.1;0.5;163.6;8.9;5.7;4.3;0.28;0.09;0.05;5.6;106.4;0.4;0;<0.1;2.1;19.73
7540;Chicken Nuggets, Deep-Fried, Lactose-Free;1113;16.1;15.3;14.7;0;0;0;0.3;<0.1;0;<0.1;0;0.2;<0.1;15.8;0.8;0.6;0.2;15.7;4.4;8.5;2.8;<0.1;0.9;3.4;3296;939;0;0;61.1;75.4;13.8;1.3;16.8;204.8;18.5;146.3;372.8;113.5;15.0;1.0;167.3;13.6;5.0;3.4;0.25;0.12;0.06;28.5;73.7;0.6;0;0.3;2.7;21.54
33079;Chicken Pasta, Saarioinen, Ready Meal;553;7.4;10.7;5.3;0;<0.1;0;1.0;0.1;<0.1;0.1;0.6;<0.1;0.2;9.6;0.6;0.3;0.2;7.1;0.3;1.7;4.8;0.2;<0.1;0.2;209;37;2;2;22.7;7.2;22.1;0.5;24.1;136.0;10.7;322.0;820.4;56.7;5.1;0.3;69.6;7.0;2.0;1.3;0.09;0.07;0.03;77.6;374.5;0.2;0.6;<0.1;0.3;5.07
32798;Chicken Pasta Casserole, Kokkikartano Snellman, Ready Meal;685;7.5;14.3;8.2;0;0.5;0;2.2;0.2;0.8;0.9;0.2;0.2;<0.1;12.1;2.4;0.5;0.2;7.1;0.4;1.8;4.8;0.1;<0.1;0.3;293;52;2;2;23.4;10.7;87.3;0.8;31.7;215.5;36.8;394.0;1004.0;172.9;6.9;1.2;104.8;14.5;3.7;2.6;0.21;0.13;0.09;64.7;409.8;0.3;9.4;<0.1;0.7;6.62
34577;Chicken Pie, Shortcrust Pastry;1124;18.7;12.9;11.9;0;0.4;0;1.7;0.1;<0.1;0.5;0.7;0.1;0.2;11.2;0.7;0.4;0.2;17.5;2.3;6.2;8.5;0.2;0.5;1.7;1681;485;3;24;105.5;38.9;156.2;0.7;17.9;194.1;19.0;275.6;702.2;192.4;15.3;0.7;162.3;22.3;4.5;1.9;0.18;0.19;0.07;174.7;214.0;0.8;1.0;1.0;1.8;12.90
33853;Chicken Salad, Saarioinen;671;6.6;18.3;6.3;0;0.2;0;6.0;0.4;0;0.5;1.3;<0.1;3.7;12.3;0.9;0.6;0.2;6.2;2.0;3.5;0.7;<0.1;0.6;1.4;1398;572;4;12;39.5;45.3;48.4;0.9;16.3;139.3;15.4;532.1;1355.7;85.4;6.2;0.6;88.2;12.8;1.9;1.3;0.11;0.10;0.04;25.5;93.2;0.3;1.2;0.2;1.3;15.59
7518;Chicken Salad, Without Dressing;292;2.9;2.4;8.0;0;0.2;0;2.0;0.8;0;1.1;0;<0.1;<0.1;0.4;0.8;0.4;0.3;2.7;0.8;1.4;0.4;<0.1;0.3;0.6;559;242;5;4;18.8;20.5;24.1;0.5;2.6;316.6;19.3;166.7;424.8;74.4;8.1;0.4;100.3;31.9;4.6;3.0;0.28;0.10;0.08;63.4;2332.7;0.3;30.8;<0.1;1.2;46.87
7514;Chicken Salad With Rice Peas, Pickles, Leek;437;3.4;10.4;7.3;0;<0.1;0;1.7;0.2;0;0.2;0;<0.1;1.2;8.7;1.2;1.0;0.2;3.2;0.7;1.6;0.8;<0.1;<0.1;0.7;654;58;0;5;27.0;13.4;14.6;1.0;9.1;172.5;18.4;197.8;504.1;90.9;5.2;0.8;95.4;20.1;4.0;2.4;0.18;0.07;0.09;22.4;687.2;<0.1;6.5;0.2;0.2;26.00
